                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.89837,                 1.5227,                0.57947,                 1.0675,                0.86102,                0.76842,                0.85756,                0.54913,                0.84929,                0.75633,                0.84705,                0.52772,                 1.3773,                 2.1968,                0.86928,                 1.4167,             0.00054594,             0.00054594,             0.00054594
                     49,                0.89887,                 1.5379,                0.58582,                  1.062,                0.80377,                0.85789,                0.88076,                0.54659,                0.79733,                0.84474,                0.86399,                0.53079,                 1.3711,                 2.2609,                0.80816,                 1.4286,               0.000515,               0.000515,               0.000515
                     50,                0.88169,                 1.4988,                0.57786,                 1.0546,                0.82023,                0.81053,                0.85794,                 0.5371,                0.80626,                0.79737,                0.83558,                0.51092,                 1.4189,                 2.3548,                 0.8511,                 1.4648,             0.00048406,             0.00048406,             0.00048406
                     51,                0.88596,                 1.5072,                0.56732,                 1.0522,                0.86264,                0.76053,                0.86089,                 0.5457,                0.84551,                0.76332,                0.85445,                0.53481,                 1.3902,                 2.2616,                0.82444,                 1.4467,             0.00045313,             0.00045313,             0.00045313
                     52,                0.87005,                 1.4935,                0.55686,                  1.057,                0.86194,                0.74211,                0.86196,                0.54531,                0.85852,                0.73455,                0.84636,                0.52614,                  1.374,                 2.2413,                0.86592,                 1.4117,             0.00042219,             0.00042219,             0.00042219
                     53,                0.85361,                 1.4593,                0.53691,                 1.0381,                0.86024,                0.82105,                0.86738,                0.53669,                0.85136,                0.81316,                0.85268,                0.52248,                 1.4281,                  2.286,                 0.8557,                  1.464,             0.00039125,             0.00039125,             0.00039125
                     54,                0.84658,                 1.4564,                0.52777,                 1.0365,                0.81772,                0.80278,                0.85906,                0.54304,                0.80746,                0.78947,                 0.8416,                0.52517,                 1.3822,                  2.346,                0.85749,                 1.4365,             0.00036031,             0.00036031,             0.00036031
                     55,                0.75157,                 1.3265,                0.41815,                0.98046,                0.83942,                0.79474,                0.85513,                0.53623,                0.80721,                0.81842,                0.85181,                0.52152,                 1.4213,                 2.3299,                 0.8589,                 1.4655,             0.00032938,             0.00032938,             0.00032938
                     56,                0.72973,                 1.2856,                0.40503,                0.96476,                0.85862,                0.76711,                0.84926,                0.52989,                0.80952,                0.79406,                0.84049,                0.51805,                 1.4242,                 2.3511,                0.84094,                 1.4898,             0.00029844,             0.00029844,             0.00029844
                     57,                 0.7024,                 1.2569,                 0.3853,                 0.9509,                0.84474,                0.80263,                0.86071,                0.54386,                 0.8392,                0.79737,                0.84428,                0.52321,                 1.3988,                 2.3629,                0.84436,                 1.4501,              0.0002675,              0.0002675,              0.0002675
                     58,                0.68712,                 1.2429,                0.38631,                0.94527,                0.82593,                0.81053,                0.84783,                0.53594,                 0.8208,                0.80526,                0.83856,                0.51826,                 1.4089,                  2.412,                0.83264,                 1.4883,             0.00023656,             0.00023656,             0.00023656
                     59,                 0.6635,                 1.2239,                0.37428,                0.93535,                0.80885,                0.83515,                0.85711,                0.52464,                0.79615,                0.82223,                0.83638,                0.50833,                 1.4199,                 2.4941,                0.85698,                 1.4886,             0.00020562,             0.00020562,             0.00020562
                     60,                0.66286,                 1.2227,                0.36162,                0.93629,                0.83625,                0.82105,                0.86545,                0.53788,                0.82821,                0.81316,                 0.8495,                0.52603,                 1.4345,                  2.444,                0.82583,                 1.4975,             0.00017469,             0.00017469,             0.00017469
                     61,                0.65209,                  1.205,                0.35758,                0.92719,                0.85773,                0.81579,                0.86657,                0.54352,                0.85688,                    0.8,                 0.8553,                0.52984,                 1.4261,                 2.4527,                 0.8517,                 1.4655,             0.00014375,             0.00014375,             0.00014375
                     62,                 0.6533,                  1.198,                0.35024,                0.93001,                0.86575,                0.81458,                0.86676,                0.54485,                0.85177,                0.80143,                 0.8557,                 0.5302,                 1.4202,                 2.4907,                0.85224,                 1.4754,             0.00011281,             0.00011281,             0.00011281
                     63,                0.62912,                 1.1778,                0.34386,                0.91785,                0.85256,                0.81842,                0.86475,                0.54303,                0.83985,                0.81053,                0.85335,                0.52804,                 1.4416,                 2.4768,                0.86035,                  1.507,             8.1875e-05,             8.1875e-05,             8.1875e-05
                     64,                0.62079,                 1.1705,                   0.34,                0.91298,                0.83882,                0.80803,                0.85858,                0.53578,                0.83062,                0.80014,                0.84769,                0.52694,                 1.4249,                 2.5031,                0.86023,                 1.4869,             5.0937e-05,             5.0937e-05,             5.0937e-05
