                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.66612,                 1.0648,                0.37409,                0.94269,                0.74671,                 0.6647,                 0.7137,                0.38661,                0.74989,                0.67047,                0.71373,                0.38983,                 1.8769,                 2.8263,                  1.335,                 1.7023,               0.006238,               0.006238,               0.006238
                     40,                0.66356,                 1.0675,                0.37436,                0.94247,                0.72712,                0.65303,                0.70308,                 0.3864,                0.73096,                0.65354,                0.70833,                0.39277,                 1.8815,                 2.8041,                 1.3603,                 1.7335,               0.006139,               0.006139,               0.006139
                     41,                0.65679,                  1.051,                0.37039,                0.93927,                0.73023,                0.63611,                 0.6901,                0.37705,                0.73252,                0.63796,                0.69433,                0.38238,                 1.8944,                 2.8229,                 1.3628,                 1.7318,                0.00604,                0.00604,                0.00604
                     42,                0.65552,                 1.0501,                0.36645,                 0.9387,                0.74563,                0.66181,                0.71049,                 0.3875,                0.74714,                0.66346,                0.71342,                0.38771,                 1.8802,                 2.8713,                 1.3285,                 1.7491,               0.005941,               0.005941,               0.005941
                     43,                0.64745,                 1.0422,                0.36628,                0.93637,                0.75015,                 0.6474,                0.70043,                0.38964,                0.76007,                 0.6518,                0.70633,                0.39154,                 1.8613,                 2.8521,                 1.3287,                 1.6959,               0.005842,               0.005842,               0.005842
                     44,                0.63791,                 1.0229,                0.36116,                0.93254,                0.74621,                0.64487,                0.69872,                0.39093,                0.75746,                0.65764,                0.70957,                0.39337,                 1.8573,                 2.8858,                 1.3115,                 1.7067,               0.005743,               0.005743,               0.005743
                     45,                0.64324,                 1.0279,                   0.36,                0.93376,                0.73609,                0.65641,                0.70309,                0.38995,                0.75581,                0.66257,                0.71194,                0.39187,                 1.8523,                 2.9247,                 1.2876,                 1.6873,               0.005644,               0.005644,               0.005644
                     46,                0.63429,                 1.0252,                0.35504,                0.93003,                0.76335,                0.63602,                  0.707,                0.39192,                0.76926,                0.64094,                0.70861,                0.39288,                 1.8148,                 2.8736,                 1.3282,                 1.6566,               0.005545,               0.005545,               0.005545
                     47,                0.62654,                 1.0161,                0.35409,                0.92964,                0.77723,                0.63734,                0.71828,                0.40227,                0.78577,                0.64749,                0.72518,                0.40378,                 1.8046,                 2.8513,                 1.3017,                 1.6631,               0.005446,               0.005446,               0.005446
                     48,                0.62753,                  1.009,                0.35287,                0.92836,                0.76095,                0.64995,                0.71885,                0.40321,                0.77187,                0.66287,                 0.7248,                0.40126,                 1.8236,                 2.9233,                 1.3357,                 1.6959,               0.005347,               0.005347,               0.005347
                     49,                0.62164,                0.99936,                 0.3472,                0.92426,                0.76042,                0.65021,                0.71293,                0.40059,                0.77465,                0.66318,                0.72191,                0.39927,                 1.8355,                 2.9074,                 1.3382,                 1.6952,               0.005248,               0.005248,               0.005248
                     50,                 0.6161,                0.99685,                0.34415,                0.92452,                0.78382,                0.65688,                0.72001,                0.40347,                0.79384,                0.66595,                0.72533,                0.40315,                 1.8303,                 2.8871,                 1.3115,                 1.6967,               0.005149,               0.005149,               0.005149
                     51,                 0.6157,                0.99059,                0.34337,                 0.9242,                 0.7629,                0.65518,                0.71619,                0.40284,                0.78025,                0.66287,                0.72263,                0.40276,                  1.843,                 2.9051,                 1.3545,                 1.7016,                0.00505,                0.00505,                0.00505
                     52,                0.61233,                0.98889,                0.33953,                0.92264,                0.74663,                0.67527,                0.72076,                0.40527,                0.75651,                0.67641,                0.72301,                0.40513,                 1.8517,                 2.9002,                 1.3291,                   1.71,               0.004951,               0.004951,               0.004951
                     53,                0.60724,                0.97524,                0.33718,                0.92197,                0.74412,                0.67447,                0.71562,                 0.4018,                0.73947,                0.69025,                0.72186,                0.40334,                 1.8719,                 2.8986,                 1.3252,                 1.7243,               0.004852,               0.004852,               0.004852
                     54,                0.60175,                0.97291,                0.33801,                0.91991,                0.73876,                0.67586,                0.71391,                0.40479,                0.75211,                0.67825,                0.71861,                 0.4031,                 1.8594,                 2.9407,                 1.3303,                 1.7157,               0.004753,               0.004753,               0.004753
                     55,                0.59328,                0.96297,                0.32747,                0.91469,                 0.7283,                0.66538,                0.70744,                0.40318,                0.73155,                0.67393,                 0.7097,                 0.4022,                 1.8611,                 2.9398,                 1.3701,                 1.7221,               0.004654,               0.004654,               0.004654
                     56,                0.59627,                0.96199,                0.33026,                0.91835,                0.75029,                0.66533,                0.71601,                0.40385,                0.74806,                0.67364,                0.71769,                0.40353,                 1.8716,                 2.9581,                 1.3457,                 1.7298,               0.004555,               0.004555,               0.004555
                     57,                0.58746,                 0.9536,                0.32598,                0.91341,                0.75951,                0.65518,                0.71593,                0.40434,                0.76011,                0.65857,                0.71711,                 0.4029,                 1.8671,                 2.9706,                 1.3318,                 1.7294,               0.004456,               0.004456,               0.004456
                     58,                0.58242,                0.94886,                 0.3241,                0.91095,                0.74621,                0.66195,                0.71747,                0.40526,                0.76509,                0.65521,                0.72078,                0.40414,                 1.8629,                 2.9562,                 1.3246,                 1.7231,               0.004357,               0.004357,               0.004357
                     59,                0.57607,                0.93314,                0.31757,                0.91097,                0.75659,                0.64688,                0.71963,                0.40632,                0.76234,                0.65426,                0.72434,                0.40529,                 1.8639,                 2.9524,                 1.3414,                 1.7257,               0.004258,               0.004258,               0.004258
                     60,                0.57485,                 0.9325,                0.31754,                0.90703,                0.74042,                0.66103,                0.72279,                 0.4088,                0.74743,                0.66687,                0.72634,                0.40674,                 1.8548,                  2.963,                 1.3326,                 1.7131,               0.004159,               0.004159,               0.004159
                     61,                0.57082,                0.92921,                0.31698,                 0.9077,                0.74969,                0.65887,                0.72159,                0.40923,                0.75564,                 0.6641,                0.72578,                0.40664,                 1.8491,                 2.9513,                 1.3308,                 1.7004,                0.00406,                0.00406,                0.00406
