                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.81833,                0.51749,                 1.0183,                0.84927,                0.78421,                0.85212,                0.51661,                  1.454,                0.88635,                 1.4719,             0.00057688,             0.00057688,             0.00057688
                     48,                0.78467,                0.49732,                 1.0036,                0.86107,                0.79919,                0.85881,                0.51533,                 1.4565,                0.79834,                  1.481,             0.00054594,             0.00054594,             0.00054594
                     49,                0.78713,                0.49892,                 1.0005,                0.79711,                0.78947,                0.81487,                0.49436,                 1.4871,                0.87707,                 1.5201,               0.000515,               0.000515,               0.000515
                     50,                0.79567,                0.49651,                 1.0101,                0.80239,                0.80143,                0.84252,                0.51621,                 1.4518,                 0.8566,                 1.4925,             0.00048406,             0.00048406,             0.00048406
                     51,                0.77283,                0.47941,                0.99747,                0.83364,                0.72895,                0.82818,                0.50729,                 1.5014,                0.88439,                 1.5114,             0.00045313,             0.00045313,             0.00045313
                     52,                0.75779,                0.47219,                0.99089,                0.83818,                0.80526,                0.83453,                  0.501,                 1.4673,                0.83358,                 1.5069,             0.00042219,             0.00042219,             0.00042219
                     53,                0.74847,                0.47265,                0.98477,                0.85549,                0.80526,                0.85193,                0.51778,                 1.4758,                0.81526,                 1.5386,             0.00039125,             0.00039125,             0.00039125
                     54,                0.72758,                0.45662,                0.97812,                0.82216,                0.79081,                0.84034,                0.50934,                 1.4887,                0.86211,                 1.5147,             0.00036031,             0.00036031,             0.00036031
                     55,                 0.6764,                0.38583,                 0.9321,                0.82192,                0.72874,                0.78954,                0.47151,                 1.5172,                0.93715,                 1.5272,             0.00032938,             0.00032938,             0.00032938
                     56,                0.61081,                  0.337,                 0.9126,                0.84903,                0.81398,                0.84883,                0.50173,                  1.502,                 0.8061,                 1.5472,             0.00029844,             0.00029844,             0.00029844
                     57,                0.59649,                0.32453,                0.89918,                0.86973,                0.81053,                0.86604,                0.51723,                 1.4857,                0.79416,                 1.5415,              0.0002675,              0.0002675,              0.0002675
                     58,                0.58018,                0.31655,                0.89164,                0.85872,                0.80526,                0.84946,                0.50454,                 1.5021,                0.80871,                 1.5602,             0.00023656,             0.00023656,             0.00023656
                     59,                0.56822,                0.30702,                0.88634,                0.82839,                0.81299,                0.84173,                0.49671,                 1.5102,                 0.8592,                 1.5941,             0.00020562,             0.00020562,             0.00020562
                     60,                0.55399,                0.30126,                0.87536,                0.85203,                0.80526,                0.84751,                0.51232,                 1.4882,                0.80554,                 1.5863,             0.00017469,             0.00017469,             0.00017469
                     61,                0.53909,                0.29427,                0.87239,                0.85287,                0.79324,                0.84366,                0.51235,                 1.4931,                0.81018,                 1.5691,             0.00014375,             0.00014375,             0.00014375
                     62,                0.53314,                0.28856,                0.87182,                0.84014,                0.81842,                0.85851,                0.51807,                  1.494,                0.82174,                 1.5749,             0.00011281,             0.00011281,             0.00011281
                     63,                 0.5167,                0.28742,                 0.8633,                 0.8511,                0.81229,                0.86139,                0.52012,                 1.4997,                0.82511,                 1.5668,             8.1875e-05,             8.1875e-05,             8.1875e-05
                     64,                0.49661,                0.27455,                0.85598,                0.83928,                0.78421,                 0.8405,                0.51509,                 1.5009,                0.83062,                 1.5864,             5.0937e-05,             5.0937e-05,             5.0937e-05
