                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.65341,                 1.0548,                0.36839,                 0.9392,                0.76128,                0.63427,                 0.7077,                0.37786,                0.76339,                0.63765,                0.71229,                0.37817,                 1.9061,                 2.9861,                 1.2721,                  1.742,              0.0047406,              0.0047406,              0.0047406
                     36,                0.64949,                 1.0538,                0.36448,                  0.939,                0.75228,                0.64965,                0.70872,                0.38632,                0.74507,                0.65026,                0.70698,                0.38656,                 1.9063,                 2.9586,                  1.238,                 1.7784,              0.0045859,              0.0045859,              0.0045859
                     37,                0.64262,                 1.0447,                0.36027,                0.93491,                0.76878,                0.62012,                0.70939,                0.38646,                0.76969,                0.62294,                0.71016,                0.38589,                 1.8781,                 2.9744,                 1.2731,                  1.737,              0.0044313,              0.0044313,              0.0044313
                     38,                0.63678,                 1.0296,                0.35697,                0.92983,                0.75299,                0.63673,                0.70894,                0.39006,                0.75217,                0.64321,                0.71308,                0.38989,                 1.8568,                 2.9303,                 1.2846,                 1.7052,              0.0042766,              0.0042766,              0.0042766
                     39,                0.62839,                 1.0121,                0.35103,                0.92691,                0.71171,                0.67671,                 0.7129,                0.39186,                0.71355,                0.67979,                0.71209,                0.38438,                 1.8709,                 3.0047,                 1.2416,                 1.7049,              0.0041219,              0.0041219,              0.0041219
                     40,                0.62729,                 1.0172,                0.34918,                0.92656,                0.73436,                0.65731,                0.71913,                0.38986,                0.73848,                  0.661,                0.72166,                0.39058,                 1.9014,                 3.0192,                 1.2589,                 1.7375,              0.0039672,              0.0039672,              0.0039672
                     41,                0.61747,                 1.0032,                0.34611,                 0.9252,                0.71372,                0.65334,                 0.6939,                 0.3755,                0.72038,                 0.6609,                0.69935,                0.37833,                 1.8785,                 2.9664,                 1.3108,                 1.7072,              0.0038125,              0.0038125,              0.0038125
                     42,                0.61556,                0.99188,                0.34239,                0.92362,                0.73831,                0.66129,                0.70073,                0.37517,                0.74455,                0.66349,                0.70739,                0.37953,                 1.9034,                 2.9945,                 1.3159,                 1.7362,              0.0036578,              0.0036578,              0.0036578
                     43,                0.60818,                0.99025,                0.33677,                0.92125,                0.71901,                0.65802,                0.70127,                0.37953,                0.72613,                0.66549,                0.70765,                0.38554,                 1.8832,                 2.9621,                 1.2884,                 1.7219,              0.0035031,              0.0035031,              0.0035031
                     44,                0.59661,                0.96922,                0.33051,                0.91643,                0.74401,                0.63026,                0.69171,                0.37029,                0.75055,                0.63673,                0.70092,                0.37521,                 1.9345,                 3.0224,                 1.3188,                  1.763,              0.0033484,              0.0033484,              0.0033484
                     45,                0.59586,                0.97042,                0.33088,                0.91613,                0.73521,                0.64073,                0.69075,                0.36927,                0.74089,                0.63242,                0.69235,                0.37695,                 1.9259,                 3.0091,                 1.3551,                 1.7665,              0.0031938,              0.0031938,              0.0031938
                     46,                0.58566,                0.96069,                0.32307,                0.91244,                0.73233,                0.64801,                0.69851,                0.37379,                0.73627,                0.65303,                0.70338,                0.38026,                  1.931,                 3.0594,                 1.3351,                   1.78,              0.0030391,              0.0030391,              0.0030391
                     47,                0.58105,                0.95286,                0.32163,                0.91288,                0.70874,                 0.6518,                0.69573,                0.37212,                0.71262,                0.65488,                0.70049,                0.37494,                 1.9215,                 3.1374,                 1.3589,                 1.7907,              0.0028844,              0.0028844,              0.0028844
                     48,                0.57508,                0.94125,                 0.3188,                0.90954,                0.73851,                0.64025,                0.70292,                0.37981,                0.74816,                0.63673,                0.70595,                0.38251,                 1.8984,                 3.0848,                  1.353,                  1.754,              0.0027297,              0.0027297,              0.0027297
                     49,                0.56755,                0.93282,                0.31012,                0.90649,                0.73295,                0.66273,                0.70899,                0.38626,                0.73475,                0.66349,                0.71366,                0.38797,                 1.8937,                 3.1067,                 1.3454,                 1.7501,               0.002575,               0.002575,               0.002575
                     50,                0.56262,                0.93084,                0.30916,                0.90528,                0.73427,                0.66779,                0.70957,                0.37938,                0.73873,                0.66595,                0.71039,                0.38378,                 1.9161,                 3.1121,                 1.3311,                 1.7684,              0.0024203,              0.0024203,              0.0024203
                     51,                0.56074,                0.91938,                0.30709,                0.90523,                 0.7262,                0.65118,                0.69795,                0.37423,                 0.7394,                0.64497,                0.70014,                0.38025,                 1.9172,                 3.1448,                 1.3793,                  1.763,              0.0022656,              0.0022656,              0.0022656
                     52,                0.55284,                0.91565,                0.30226,                0.90264,                0.74667,                0.63642,                0.69857,                0.37374,                0.75412,                0.63888,                0.70184,                0.37884,                 1.9252,                 3.1822,                  1.378,                 1.7751,              0.0021109,              0.0021109,              0.0021109
                     53,                0.54749,                0.89988,                0.29831,                0.90216,                0.74293,                0.64442,                0.70159,                0.37266,                0.75061,                0.64804,                 0.7025,                0.37888,                 1.9372,                 3.1761,                 1.3652,                 1.7977,              0.0019563,              0.0019563,              0.0019563
                     54,                0.54103,                0.89166,                0.29759,                0.89966,                0.73561,                0.64073,                 0.6954,                0.37016,                0.74393,                0.64411,                0.69809,                0.37473,                 1.9485,                 3.2018,                 1.3671,                 1.8166,              0.0018016,              0.0018016,              0.0018016
                     55,                0.42962,                0.73512,                 0.2138,                0.83093,                0.73413,                0.64934,                0.69252,                0.36051,                 0.7377,                0.65026,                0.69588,                0.36449,                 1.9806,                 3.2507,                  1.358,                 1.8558,              0.0016469,              0.0016469,              0.0016469
                     56,                0.40649,                0.70455,                0.20454,                0.82442,                0.70941,                0.65826,                0.68812,                 0.3615,                0.72769,                0.65842,                0.69644,                0.36483,                 1.9778,                 3.2593,                 1.3726,                 1.8504,              0.0014922,              0.0014922,              0.0014922
                     57,                 0.3945,                0.68627,                0.19908,                0.81919,                0.70435,                0.66964,                0.69297,                 0.3654,                0.71945,                0.67241,                0.70032,                0.36984,                 1.9799,                 3.2653,                 1.3671,                 1.8563,              0.0013375,              0.0013375,              0.0013375
                     58,                0.38354,                0.67512,                0.19532,                0.81674,                0.72504,                0.66185,                0.69995,                0.37047,                0.73043,                0.66846,                0.70744,                0.37551,                 1.9744,                 3.2631,                 1.3544,                 1.8458,              0.0011828,              0.0011828,              0.0011828
                     59,                0.37625,                0.66693,                0.19064,                0.81292,                0.72067,                0.67702,                0.70425,                0.37266,                0.72494,                0.68379,                0.70928,                0.37644,                 1.9776,                 3.2921,                 1.3566,                 1.8489,              0.0010281,              0.0010281,              0.0010281
                     60,                 0.3676,                0.65378,                0.18676,                0.81206,                0.71895,                0.67856,                 0.7074,                0.37248,                0.72384,                0.68317,                0.71117,                 0.3767,                   1.98,                 3.3337,                 1.3567,                 1.8578,             0.00087344,             0.00087344,             0.00087344
                     61,                0.35975,                0.64515,                0.18287,                0.80915,                0.72789,                0.67425,                0.71165,                0.37614,                0.74465,                 0.6656,                0.71401,                0.37864,                 1.9766,                 3.3663,                 1.3503,                 1.8577,             0.00071875,             0.00071875,             0.00071875
                     62,                 0.3494,                0.63661,                 0.1769,                0.80663,                 0.7342,                0.66614,                0.71033,                0.37678,                0.74638,                 0.6598,                0.71318,                0.38003,                 1.9778,                 3.3893,                  1.356,                 1.8607,             0.00056406,             0.00056406,             0.00056406
                     63,                0.34217,                 0.6293,                0.17407,                0.80466,                 0.7292,                0.67007,                  0.711,                0.37787,                0.73618,                0.67087,                0.71456,                0.38135,                 1.9778,                 3.4155,                 1.3572,                 1.8629,             0.00040938,             0.00040938,             0.00040938
                     64,                0.33232,                0.61761,                0.16934,                0.80213,                0.73147,                0.67367,                0.71205,                0.37804,                0.73872,                0.67087,                0.71442,                0.38152,                 1.9798,                  3.442,                 1.3603,                 1.8673,             0.00025469,             0.00025469,             0.00025469
